tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
570306133677760513,neutral,1.0,,,Virgin America,,cairdin,,0,@virginamerica what @dhepburn said ,,2015-02-24 11:35:52 -0800,,Eastern Time (US & Canada)
570301130888122368,positive,0.3486,,0.0,Virgin America,,jnardino,,0,@virginamerica plus youve added commercials to the experience    tacky ,,2015-02-24 11:15:59 -0800,,Pacific Time (US & Canada)
570301083672813571,neutral,0.6837,,,Virgin America,,yvonnalynn,,0,@virginamerica i didnt today    must mean i need to take another trip!,,2015-02-24 11:15:48 -0800,Lets Play,Central Time (US & Canada)
570301031407624196,negative,1.0,Bad Flight,0.7033,Virgin America,,jnardino,,0,"@virginamerica its really aggressive to blast obnoxious ""entertainment"" in your guests faces & they have little recourse",,2015-02-24 11:15:36 -0800,,Pacific Time (US & Canada)
570300817074462722,negative,1.0,Can't Tell,1.0,Virgin America,,jnardino,,0,@virginamerica and its a really big bad thing about it,,2015-02-24 11:14:45 -0800,,Pacific Time (US & Canada)
570300767074181121,negative,1.0,Can't Tell,0.6842,Virgin America,,jnardino,,0,"@virginamerica seriously would pay $ digit  a flight for seats that didnt have this playing 
its really the only bad thing about flying va",,2015-02-24 11:14:33 -0800,,Pacific Time (US & Canada)
570300616901320704,positive,0.6745,,0.0,Virgin America,,cjmcginnis,,0,"@virginamerica yes, nearly every time i fly vx this “ear worm” won’t go away :)",,2015-02-24 11:13:57 -0800,San Francisco CA,Pacific Time (US & Canada)
570300248553349120,neutral,0.634,,,Virgin America,,pilot,,0,"@virginamerica really missed a prime opportunity for men without hats parody, there   ",,2015-02-24 11:12:29 -0800,Los Angeles,Pacific Time (US & Canada)
570299953286942721,positive,0.6559,,,Virgin America,,dhepburn,,0,"@virginamerica well, i didnt…but now i do! : d",,2015-02-24 11:11:19 -0800,San Diego,Pacific Time (US & Canada)
570295459631263746,positive,1.0,,,Virgin America,,YupitsTate,,0,"@virginamerica it was amazing, and arrived an hour early  youre too good to me ",,2015-02-24 10:53:27 -0800,Los Angeles,Eastern Time (US & Canada)
570294189143031808,neutral,0.6769,,0.0,Virgin America,,idk_but_youtube,,0,@virginamerica did you know that suicide is the second leading cause of death among teens  digit   digit ,,2015-02-24 10:48:24 -0800,1/1 loner squad,Eastern Time (US & Canada)
570289724453216256,positive,1.0,,,Virgin America,,HyperCamiLax,,0,@virginamerica i < digit  pretty graphics  so much better than minimal iconography  :d,,2015-02-24 10:30:40 -0800,NYC,America/New_York
570289584061480960,positive,1.0,,,Virgin America,,HyperCamiLax,,0,@virginamerica this is such a great deal! already thinking about my  digit nd trip to @australia & i havent even gone on my  digit st trip yet! ;p,,2015-02-24 10:30:06 -0800,NYC,America/New_York
570287408438120448,positive,0.6451,,,Virgin America,,mollanderson,,0,@virginamerica @virginmedia im flying your     skies again! u take all the   away from travel  ,,2015-02-24 10:21:28 -0800,,Eastern Time (US & Canada)
570285904809598977,positive,1.0,,,Virgin America,,sjespers,,0,@virginamerica thanks!,,2015-02-24 10:15:29 -0800,"San Francisco, CA",Pacific Time (US & Canada)
570282469121007616,negative,0.6842,Late Flight,0.3684,Virgin America,,smartwatermelon,,0,@virginamerica sfo pdx schedule is still mia ,,2015-02-24 10:01:50 -0800,"palo alto, ca",Pacific Time (US & Canada)
570277724385734656,positive,1.0,,,Virgin America,,ItzBrianHunty,,0,@virginamerica so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america   ,,2015-02-24 09:42:59 -0800,west covina,Pacific Time (US & Canada)
570276917301137409,negative,1.0,Bad Flight,1.0,Virgin America,,heatherovieda,,0,@virginamerica  i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me  help!,,2015-02-24 09:39:46 -0800,this place called NYC,Eastern Time (US & Canada)
570270684619923457,positive,1.0,,,Virgin America,,thebrandiray,,0,i ?? flying  email address  ???,,2015-02-24 09:15:00 -0800,Somewhere celebrating life. ,Atlantic Time (Canada)
570267956648792064,positive,1.0,,,Virgin America,,JNLpierce,,0,@virginamerica you know what would be amazingly awesome? bos fll please!!!!!!! i want to fly with only you ,,2015-02-24 09:04:10 -0800,Boston | Waltham,Quito
570265883513384960,negative,0.6705,Can't Tell,0.3614,Virgin America,,MISSGJ,,0,@virginamerica why are your first fares in may over three times more than other carriers when all seats are available to select???,,2015-02-24 08:55:56 -0800,,
570264145116819457,positive,1.0,,,Virgin America,,DT_Les,,0,@virginamerica i love this graphic   ,"[40.74804263, -73.99295302]",2015-02-24 08:49:01 -0800,,
570259420287868928,positive,1.0,,,Virgin America,,ElvinaBeck,,0,@virginamerica i love the hipster innovation  you are a feel good brand ,,2015-02-24 08:30:15 -0800,Los Angeles,Pacific Time (US & Canada)
570258822297579520,neutral,1.0,,,Virgin America,,rjlynch21086,,0,@virginamerica will you be making bos>las non stop permanently anytime soon?,,2015-02-24 08:27:52 -0800,"Boston, MA ",Eastern Time (US & Canada)
570256553502068736,negative,1.0,Customer Service Issue,0.3557,Virgin America,,ayeevickiee,,0,@virginamerica you guys messed up my seating   i reserved seating with my friends and you guys gave my seat away     ? i want free internet,,2015-02-24 08:18:51 -0800,714,Mountain Time (US & Canada)
570249102404923392,negative,1.0,Customer Service Issue,1.0,Virgin America,,Leora13,,0,@virginamerica status match program   i applied and its been three weeks   called and emailed with no response ,,2015-02-24 07:49:15 -0800,,
570239632807370753,negative,1.0,Can't Tell,0.6614,Virgin America,,meredithjlynn,,0,@virginamerica what happened  digit  ur vegan food options?! at least say on ur site so i know i wont be able  digit  eat anything for next  digit  hrs  ,,2015-02-24 07:11:37 -0800,,
570217831557677057,neutral,0.6854,,,Virgin America,,AdamSinger,,0,@virginamerica do you miss me? dont worry well be together very soon ,,2015-02-24 05:44:59 -0800,"San Francisco, CA",Central Time (US & Canada)
570207886493782019,negative,1.0,Bad Flight,1.0,Virgin America,,blackjackpro911,,0,@virginamerica amazing to me that we cant get any cold air from the vents           ,"[42.361016, -71.02000488]",2015-02-24 05:05:28 -0800,"San Mateo, CA & Las Vegas, NV",
570124596180955136,neutral,0.615,,0.0,Virgin America,,TenantsUpstairs,,0,@virginamerica lax to ewr   middle seat on a red eye  such a noob maneuver     ,"[33.94540417, -118.4062472]",2015-02-23 23:34:30 -0800,Brooklyn,Atlantic Time (Canada)
570114021854212096,negative,1.0,Flight Booking Problems,1.0,Virgin America,,jordanpichler,,0,"@virginamerica hi! i just bked a cool birthday trip with you, but i cant add my elevate no  cause i entered my middle name during flight booking problems ?",,2015-02-23 22:52:29 -0800,,Vienna
570094701371469825,neutral,1.0,,,Virgin America,,JCervantezzz,,0,@virginamerica are the hours of operation for the club at sfo that are posted online current?,,2015-02-23 21:35:43 -0800,"California, San Francisco",Pacific Time (US & Canada)
570088404156698625,negative,1.0,Customer Service Issue,1.0,Virgin America,,Cuschoolie1,,0,"@virginamerica help, left expensive headphones on flight  digit  iad to lax today  seat  digit a  no one answering l&f number at lax!","[33.94209449, -118.40410103]",2015-02-23 21:10:41 -0800,Washington DC,Quito
570084582780899328,negative,1.0,Customer Service Issue,1.0,Virgin America,,amanduhmccarty,,0,"@virginamerica awaiting my return phone call, just would prefer to use your online self service option :(",,2015-02-23 20:55:30 -0800,,Pacific Time (US & Canada)
570076792993611776,positive,1.0,,,Virgin America,,NorthTxHomeTeam,,0,@virginamerica this is great news!  america could start flights to hawaii by end of year   via @pacificbiznews,"[33.2145038, -96.9321504]",2015-02-23 20:24:33 -0800,Texas,Central Time (US & Canada)
570051991277342720,neutral,0.6207,,,Virgin America,,miaerolinea,,0,nice rt @virginamerica: vibe with the moodlight from takeoff to touchdown       ,,2015-02-23 18:46:00 -0800,Worldwide,Caracas
